model_name,lr,lora_r,template_type,best-val-epoch,best-val-f1,loss,accuracy,precision,recall,f1
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0001,32,2,6.0,0.9570469201795113,0.24717200320699942,0.96875,0.9660123639840025,0.9638239056092591,0.9645281023773737
rinna/japanese-gpt-neox-3.6b,0.0001,64,2,9.0,0.961544608400521,0.00977232857890751,0.967391304347826,0.9660029577609165,0.9633707843711403,0.9644341237883798
cyberagent/open-calm-3b,0.001,32,1,2.0,0.9715309379564583,0.7263192715852157,0.96875,0.9632343115295215,0.9663360667094876,0.9643512146623837
cyberagent/open-calm-3b,0.0003,32,2,6.0,0.978706517497902,0.3900306121162746,0.96875,0.9637587728670183,0.9651366691204668,0.9642023118285358
cyberagent/open-calm-3b,0.0005,32,2,5.0,0.9766121992834628,0.30409085232278577,0.96875,0.9647760762189908,0.962991258565631,0.9635058248247164
cyberagent/open-calm-3b,0.0003,32,1,6.0,0.973837507510648,0.5647119024525518,0.96875,0.9642563514358058,0.9632628764380868,0.9634765863889336
rinna/japanese-gpt-neox-3.6b,0.0003,32,2,9.0,0.9673515686703067,0.22281936977220618,0.96875,0.9646122014002015,0.96205760973849,0.9630130846936239
rinna/japanese-gpt-neox-3.6b,0.0001,32,0,8.0,0.9603343391151687,0.14642441791036856,0.967391304347826,0.9623884827236401,0.9637949624632081,0.9629360372857657
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0001,32,1,7.0,0.9601983585098915,0.3428555986155634,0.9660326086956522,0.9610673931621295,0.96449834044334,0.9625292010061539
cyberagent/open-calm-3b,0.0001,32,1,6.0,0.9721679681274495,0.47879521743110987,0.967391304347826,0.962387382066097,0.963395194728081,0.9625275297611137
cyberagent/open-calm-3b,0.0005,32,1,4.0,0.9627196971506253,0.5593331378439198,0.967391304347826,0.9605853113481371,0.9642090170592181,0.9622214708421473
cyberagent/open-calm-7b,0.0005,32,2,6.0,0.9644953664009243,0.6605036776998768,0.967391304347826,0.9615801558153131,0.962164832169781,0.9617631052073788
cyberagent/open-calm-7b,0.0001,32,0,9.0,0.9524101002458758,0.3777978731238324,0.9646739130434783,0.9623205481592216,0.9619617944382406,0.9616885788118341
rinna/japanese-gpt-neox-3.6b,5e-05,4,2,7.0,0.9549295832295006,0.0049774335778277855,0.9646739130434783,0.9608473325476647,0.9619688040572273,0.9612516907038936
cyberagent/open-calm-3b,0.0005,32,0,7.0,0.9669225703307595,0.6658768031908118,0.9646739130434783,0.9607503996706941,0.9607227879193514,0.9605059650133655
cyberagent/open-calm-3b,0.0001,32,2,8.0,0.9634751135240587,0.2425483413364576,0.9646739130434783,0.9585696466265693,0.9611133024309958,0.9596902608811272
cyberagent/open-calm-3b,0.0003,32,0,8.0,0.9757983071002586,0.6012747391410496,0.9646739130434783,0.9591225228274664,0.9597275753276926,0.9591430422917269
cyberagent/open-calm-7b,0.0003,32,2,5.0,0.9655817817664869,0.6569265282672384,0.9633152173913043,0.9589267214234218,0.9566905856007204,0.9576003613012691
cyberagent/open-calm-7b,0.0001,32,2,6.0,0.9594104800901094,0.5127324643342391,0.9619565217391305,0.9569467681882559,0.9575938579599436,0.9570265865268416
rinna/japanese-gpt-neox-3.6b,5e-05,32,2,7.0,0.9428255855629699,0.007521537335022636,0.9592391304347826,0.9572636842620663,0.9549589480148636,0.9558110742366291
rinna/japanese-gpt-neox-3.6b,5e-05,8,2,6.0,0.9518826765830338,0.008391216397285461,0.9592391304347826,0.9557677317156644,0.9554697001439543,0.9552857949204286
rinna/japanese-gpt-neox-3.6b,5e-05,16,2,6.0,0.9417485874047373,0.007767191399698672,0.9592391304347826,0.9532638602665736,0.9564635717573553,0.9544411392424155
cyberagent/open-calm-3b,0.0001,32,0,8.0,0.9597863455089103,0.4920096604720406,0.9483695652173914,0.9451443965854993,0.9456278612429051,0.9451146085342081
rinna/japanese-gpt-neox-3.6b,3e-05,4,2,7.0,0.93991707756317,0.1789653197578762,0.9483695652173914,0.9435304614458739,0.9455618593612817,0.9442954952732262
rinna/japanese-gpt-neox-3.6b,3e-05,16,2,7.0,0.9403075000217888,0.37621182980744733,0.9442934782608695,0.9411438352517043,0.9414649198168212,0.9405629873920487
cyberagent/open-calm-1b,0.0003,32,1,9.0,0.9354804772511817,0.4417938978775688,0.9442934782608695,0.9424439019277594,0.9380075831803892,0.939817312595081
rinna/japanese-gpt-neox-3.6b,5e-05,64,2,8.0,0.9405316631002292,0.01300614165223163,0.9415760869565217,0.9350666070282223,0.9394696226731525,0.9369003019485886
rinna/japanese-gpt-neox-3.6b,3e-05,32,2,8.0,0.9373914494534366,0.3120411997256072,0.9402173913043478,0.9350482310055871,0.9360980338305569,0.9354864525782044
cyberagent/open-calm-1b,0.0003,32,0,6.0,0.9168266157660953,0.4206562456877335,0.936141304347826,0.9352712811785499,0.9360522422151243,0.9350186611458459
rinna/japanese-gpt-neox-3.6b,3e-05,64,2,6.0,0.9316320395061555,0.01381658989450206,0.938858695652174,0.9345808834656099,0.9344584706053323,0.9342744128362926
cyberagent/open-calm-1b,0.0005,32,0,8.0,0.9288325624236864,0.46775249812913977,0.9307065217391305,0.9291389343144885,0.9239648209576914,0.9256573229890049
rinna/japanese-gpt-neox-3.6b,3e-05,8,2,9.0,0.9418669821119242,0.34773061586462933,0.9211956521739131,0.914793970847422,0.914167068442467,0.9139273456887305
cyberagent/open-calm-1b,0.0005,32,2,9.0,0.9079371848176309,0.31601302520088526,0.904891304347826,0.8967762431036896,0.8983576757509568,0.8971041201211061
cyberagent/open-calm-1b,0.001,32,1,8.0,0.9072249282175705,0.6589088439941406,0.8967391304347826,0.8895934217868443,0.8885166424757441,0.8878516401122322
cyberagent/open-calm-1b,0.0001,32,0,9.0,0.8636282695037597,0.6862835262132727,0.8831521739130435,0.8798976748524499,0.8768590034109728,0.877091081394531
cyberagent/open-calm-1b,0.0001,32,1,9.0,0.8613628830045784,0.6095463296641475,0.8709239130434783,0.8640309963083337,0.8681508952778225,0.8656805929397482
cyberagent/open-calm-1b,0.0003,32,2,8.0,0.8935919111586359,0.6769570475039275,0.8668478260869565,0.8585432082877694,0.8556005725681924,0.8563386572225511
cyberagent/open-calm-1b,0.001,32,2,7.0,0.8644815159112654,0.5263298283452573,0.8695652173913043,0.8578723945064307,0.8512115925048321,0.8525066549666126
cyberagent/open-calm-1b,0.0001,32,2,8.0,0.8692376897538843,0.5791677392047384,0.8586956521739131,0.849989830495105,0.8476476745076121,0.8476746900101421
rinna/japanese-gpt-neox-3.6b,1e-05,32,2,8.0,0.7894091702723591,0.6105850883152174,0.8125,0.8021489508329067,0.7942614254968875,0.7962131510664897
cyberagent/open-calm-1b,0.0005,32,1,9.0,0.7873643175506171,0.5797826103542162,0.8084239130434783,0.7939954402950342,0.7933829658147716,0.7926847847821202
rinna/japanese-gpt-neox-3.6b,1e-05,4,2,8.0,0.7856765805640288,0.6027858568274457,0.8084239130434783,0.7923591388749138,0.7811200890626426,0.7807765614872426
rinna/japanese-gpt-neox-3.6b,1e-05,64,2,9.0,0.7750969514184302,0.8313465947690217,0.7758152173913043,0.7557191028527163,0.751452277067601,0.7517201558449711
rinna/japanese-gpt-neox-3.6b,1e-05,16,2,8.0,0.7382303189584521,0.876570991847826,0.75,0.7310411215636115,0.7322217648175404,0.7295892176873687
rinna/japanese-gpt-neox-3.6b,1e-05,8,2,8.0,0.694139710442682,0.8561281950577445,0.7608695652173914,0.7199182673707756,0.7219939698738047,0.7095659936584707
cyberagent/open-calm-1b,0.001,32,0,3.0,0.398602069011786,2.0684442934782608,0.44565217391304346,0.4778646428578128,0.420706403633843,0.41513234117055453
rinna/japanese-gpt-neox-3.6b,0.005,32,2,9.0,0.24782949123856568,0.07766325577445653,0.3220108695652174,0.362972442018135,0.30273233652691306,0.2821083167234807
rinna/japanese-gpt-neox-3.6b,0.003,4,2,9.0,0.2516416640501153,2.325927734375,0.30978260869565216,0.30123675623153356,0.28767194620978886,0.2554818771383255
rinna/japanese-gpt-neox-3.6b,0.005,16,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.005,8,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.05,64,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.005,4,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.003,64,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.003,16,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.003,8,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.005,64,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.05,32,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.01,4,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.01,8,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.01,16,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.01,32,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.01,64,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.03,4,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.03,8,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.03,16,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.03,32,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.03,64,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.05,4,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.05,8,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.05,16,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.003,32,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
